index,millisecond,imageBound_x,imageBound_y,imageBound_width,imageBound_height,center_x,center_y,imagePoint_x,imagePoint_y,zoom,interval
1,286,-31,-76,1128,658,533,253,234,575,0.9,286
2,523,-31,-76,1128,658,533,253,371,452,0.9,237
3,2146,-31,-76,1128,658,533,253,908,39,0.9,1623
4,2391,-112,-293,1128,658,452,36,905,46,0.900144526205366,245
5,2651,-112,-293,1128,658,452,36,895,36,0.900606786863477,260
6,2892,-112,-293,1128,658,452,36,894,54,0.908549567367036,241
7,3120,-112,-293,1128,658,452,36,756,154,0.908549567367036,228
8,3435,-112,-292,1128,658,452,37,859,134,1.09334169660864,315
9,3707,-112,-292,1128,658,452,37,760,145,1.09334169660864,272
10,3938,33,-220,940,548,503,54,753,148,1.31623701831075,231
11,4183,33,-220,940,548,503,54,759,138,1.31623701831075,245
12,4405,154,-160,784,457,546,69,758,150,1.56776652898263,222
13,4656,154,-160,784,457,546,69,769,137,1.56776652898263,251
14,4986,257,-110,653,381,584,81,763,143,1.89602603835383,330
15,5228,257,-110,653,381,584,81,699,121,1.89602603835383,242
16,5445,331,-72,544,317,603,87,752,135,2.27441057277533,217
17,5701,331,-72,544,317,603,87,693,114,2.27441057277533,256
18,5917,391,-41,453,264,618,91,743,131,2.71126309880875,216
19,6160,391,-41,453,264,618,91,691,110,2.71126309880875,243
20,6472,441,-16,378,220,630,94,739,128,3.26859777782614,312
21,6732,441,-16,378,220,630,94,691,106,3.26859777782614,260
22,6960,483,5,315,184,641,97,691,107,3.93341915865527,228
23,7211,483,5,315,184,641,97,691,106,3.93341915865527,251
24,7421,517,22,262,153,648,99,691,106,4.6438023168,210
25,7652,517,22,262,153,648,99,691,106,4.6438023168,231
26,7981,546,36,219,128,656,100,691,106,4.6438023168,329
27,8295,546,36,219,128,656,100,707,88,4.6438023168,314
28,8788,546,36,219,128,656,100,733,38,4.6438023168,493
29,23071,546,36,219,128,656,100,763,106,4.6438023168,14283
30,25850,546,36,219,128,656,100,738,102,4.6438023168,2779
31,26082,546,36,219,128,656,100,738,102,4.6438023168,232
32,26303,546,36,219,128,656,100,734,102,4.6438023168,221
33,26893,546,36,219,128,656,100,695,95,4.6438023168,590
34,27242,546,36,219,128,656,100,694,95,4.6438023168,349
35,27536,546,36,219,128,656,100,694,94,4.6438023168,294
36,28351,546,36,219,128,656,100,680,89,4.6438023168,815
37,28683,546,36,219,128,656,100,680,89,4.6438023168,332
38,28943,546,36,219,128,656,100,676,89,4.6438023168,260
39,29189,546,36,219,128,656,100,675,89,4.6438023168,246
40,29431,546,36,219,128,656,100,674,89,4.64577477720374,242
41,29671,546,36,219,128,656,100,648,97,4.6848705891585,240
42,29897,524,62,219,128,634,126,638,102,4.6848705891585,226
43,30222,524,62,219,128,634,126,626,99,5.65541056493538,325
44,30471,524,62,219,128,634,126,619,102,5.65541056493538,249
45,30696,540,69,182,106,631,122,620,103,6.687075336192,225
46,30949,540,69,182,106,631,122,619,101,6.687075336192,253
47,31275,553,75,152,89,629,120,619,101,6.687075336192,326
48,31502,553,75,152,89,629,120,619,101,6.687075336192,227
49,31821,553,75,152,89,629,120,616,101,6.687075336192,319
50,32056,559,105,152,89,635,150,632,139,6.687075336192,235
51,32296,559,105,152,89,635,150,631,138,6.687075336192,240
52,32541,559,105,152,89,635,150,633,144,6.687075336192,245
53,32797,559,105,152,89,635,150,630,151,6.687075336192,256
54,33055,559,105,152,89,635,150,626,168,6.687075336192,258
55,33400,544,145,152,89,620,190,626,168,6.687075336192,345
56,33645,544,145,152,89,620,190,623,172,6.687075336192,245
57,33925,544,145,152,89,620,190,622,174,6.687075336192,280
58,34163,544,145,152,89,620,190,619,174,6.687075336192,238
59,34396,544,145,152,89,620,190,612,169,6.687075336192,233
60,34621,502,108,152,89,578,153,612,169,6.687075336192,225
61,34946,502,108,152,89,578,153,611,168,6.687075336192,325
62,35762,502,108,152,89,578,153,573,165,6.687075336192,816
63,35989,464,121,152,89,540,166,573,165,6.687075336192,227
64,36249,464,121,152,89,540,166,566,168,6.687075336192,260
65,36825,464,121,152,89,540,166,534,184,6.687075336192,576
66,37050,450,150,152,89,526,195,534,184,6.687075336192,225
67,37327,450,150,152,89,526,195,533,184,6.687075336192,277
68,38249,450,150,152,89,526,195,504,185,6.687075336192,922
69,38580,410,165,152,89,486,210,504,185,6.687075336192,331
70,38833,410,165,152,89,486,210,500,184,6.687075336192,253
71,39144,410,165,152,89,486,210,489,182,6.687075336192,311
72,39399,410,165,152,89,486,210,489,182,6.69019247680965,255
73,39739,410,165,152,89,486,210,488,183,6.7066264290516,340
74,39951,410,165,152,89,486,210,470,193,8.13381906936549,212
75,40171,410,165,152,89,486,210,486,193,8.13381906936549,220
76,40398,427,198,127,74,491,235,480,217,8.13381906936549,227
77,40646,427,198,127,74,491,235,490,222,9.7857274170284,248
78,40889,437,202,105,62,490,233,481,216,9.7857274170284,243
79,41100,437,202,105,62,490,233,489,225,11.6365941075036,211
80,41480,446,206,88,51,490,232,490,223,11.6365941075036,380
81,41724,446,206,88,51,490,232,488,225,14.0966962615656,244
82,41946,453,209,73,43,490,231,489,225,14.0966962615656,222
83,42157,453,209,73,43,490,231,488,224,16.6395833005533,211
84,42398,459,212,61,36,490,230,489,225,16.6395833005533,241
85,42638,459,212,61,36,490,230,488,224,16.6395833005533,240
86,42991,459,212,61,36,490,230,488,224,16.6395833005533,353
87,43235,459,212,61,36,490,230,489,226,16.6395833005533,244
88,43460,459,212,61,36,490,230,489,239,16.6395833005533,225
89,43703,464,228,61,36,495,246,488,241,16.6395833005533,243
90,43981,464,228,61,36,495,246,485,234,16.6395833005533,278
91,44258,464,228,61,36,495,246,486,240,16.6395833005533,277
92,44656,464,228,61,36,495,246,486,240,16.6395833005533,398
93,44923,464,228,61,36,495,246,486,240,16.6281289058161,267
94,45167,464,228,61,36,495,246,486,239,16.574300667332,244
95,45416,464,228,61,36,495,246,492,240,16.3716128914964,249
96,45643,464,228,61,36,495,246,499,241,13.733839214443,227
97,45876,464,228,61,36,495,246,499,241,13.733839214443,233
98,46187,457,226,73,43,494,248,500,241,11.3037610408821,311
99,46421,449,223,88,51,493,249,499,241,11.3037610408821,234
100,46630,449,223,88,51,493,249,500,241,9.05803221001533,209
101,46874,449,223,88,51,493,249,499,240,9.05803221001533,244
102,47128,439,219,105,62,492,250,499,240,7.63886681618707,254
103,47348,426,215,127,74,490,252,499,240,6.67300918933811,220
104,47701,412,210,152,89,488,255,499,240,6.63300864491038,353
105,47935,412,210,152,89,488,255,500,239,6.31656155487748,234
106,48184,412,210,152,89,488,255,500,238,5.46318486279912,249
107,48385,394,205,182,106,485,258,500,238,4.42542673914453,201
108,48627,394,205,182,106,485,258,502,238,4.42542673914453,242
109,48895,373,198,219,128,483,262,504,239,3.8263816129603,268
110,49167,347,190,262,153,478,267,505,240,3.17550606782802,272
111,49410,315,180,315,184,473,272,498,237,3.17550606782802,243
112,49612,315,180,315,184,473,272,507,241,2.6873856,202
113,49863,277,167,378,220,466,277,494,233,2.6873856,251
114,50105,277,167,378,220,466,277,513,239,2.6873856,242
115,50342,277,167,378,220,466,277,545,236,2.6873856,237
116,50579,277,167,378,220,466,277,546,235,2.6873856,237
117,50912,277,167,378,220,466,277,456,234,2.6873856,333
118,51126,160,154,378,220,349,264,447,229,2.6873856,214
119,51386,160,154,378,220,349,264,407,235,2.6873856,260
120,51617,160,154,378,220,349,264,371,206,2.6873856,231
121,51873,160,154,378,220,349,264,366,207,2.68912611036947,256
122,52098,160,154,378,220,349,264,381,260,2.71873338678814,225
123,52401,165,235,378,220,354,345,394,295,2.71873338678814,303
124,52609,165,235,378,220,354,345,392,349,3.28148318025751,208
125,52839,203,254,315,184,361,346,392,306,3.28148318025751,230
126,53055,203,254,315,184,361,346,391,348,3.93513782923484,216
127,53281,234,270,262,153,365,347,392,325,3.93513782923484,226
128,53503,234,270,262,153,365,347,387,347,4.6860578874491,222
129,53751,260,283,219,128,370,347,392,330,4.6860578874491,248
130,54055,260,283,219,128,370,347,383,345,5.57256278016,304
131,54287,280,293,182,106,371,346,389,348,5.57256278016,232
132,54546,280,293,182,106,371,346,380,345,5.57256278016,259
133,54875,280,293,182,106,371,346,374,348,5.57256278016,329
134,55096,238,281,182,106,329,334,373,350,5.57256278016,221
135,55359,238,281,182,106,329,334,372,350,5.57256278016,263
136,55702,238,281,182,106,329,334,370,351,5.57256278016,343
137,55952,238,281,182,106,329,334,373,350,5.57256278016,250
138,56170,238,281,182,106,329,334,336,339,5.57256278016,218
139,56401,192,263,182,106,283,316,335,338,5.57256278016,231
140,56663,192,263,182,106,283,316,336,338,5.57256278016,262
141,56887,192,263,182,106,283,316,332,335,5.57256278016,224
142,57224,192,263,182,106,283,316,313,326,5.57256278016,337
143,57459,159,228,182,106,250,281,285,297,5.57256278016,235
144,57717,159,228,182,106,250,281,285,298,5.57256278016,258
145,57950,159,228,182,106,250,281,279,286,5.57256278016,233
146,58175,159,228,182,106,250,281,231,259,5.57256278016,225
147,58407,112,188,182,106,203,241,226,255,5.57256278016,232
148,58627,112,188,182,106,203,241,227,256,5.57256278016,220
149,58937,112,188,182,106,203,241,222,251,5.57256278016,310
150,59196,112,188,182,106,203,241,214,241,5.57256278016,259
151,59407,112,188,182,106,203,241,190,246,5.57256278016,211
152,59739,100,203,182,106,191,256,190,246,5.57256278016,332
153,60159,100,203,182,106,191,256,185,267,5.57256278016,420
154,60400,100,203,182,106,191,256,185,268,5.57256278016,241
155,60614,100,203,182,106,191,256,185,269,5.57256278016,214
156,60834,114,230,182,106,205,283,185,269,5.57256278016,220
157,61240,114,230,182,106,205,283,184,266,5.57256278016,406
158,61462,114,230,182,106,205,283,184,266,5.57256278016,222
159,61689,114,230,182,106,205,283,188,274,5.57256278016,227
160,62013,114,230,182,106,205,283,203,293,5.57256278016,324
161,62252,132,264,182,106,223,317,203,293,5.57256278016,239
162,62490,132,264,182,106,223,317,211,293,5.57256278016,238
163,62791,132,264,182,106,223,317,212,298,5.57256278016,301
164,63039,132,264,182,106,223,317,207,310,5.57256278016,248
165,63275,135,288,182,106,226,341,207,310,5.57256278016,236
166,63507,135,288,182,106,226,341,205,307,5.57256278016,232
167,63737,135,288,182,106,226,341,205,306,5.57256278016,230
168,63996,135,288,182,106,226,341,205,308,5.57256278016,259
169,64276,135,288,182,106,226,341,213,343,5.57954542202359,280
170,64514,146,321,182,106,237,374,213,342,5.57954542202359,238
171,64732,146,321,182,106,237,374,217,342,5.60101418307132,218
172,64962,146,321,182,106,237,374,230,346,5.67861094823079,230
173,65167,146,321,182,106,237,374,228,351,6.79618852009577,205
174,65415,160,326,152,89,236,371,224,352,6.79618852009577,248
175,65626,160,326,152,89,236,371,227,350,8.14052085272142,211
176,65899,171,330,127,74,235,367,227,352,8.14052085272142,273
177,66095,171,330,127,74,235,367,227,349,9.62938848411648,196
178,66322,180,333,105,62,233,364,228,352,9.62938848411648,227
179,66553,180,333,105,62,233,364,226,348,9.62938848411648,231
180,66801,180,333,105,62,233,364,226,344,9.62938848411648,248
181,67008,180,333,105,62,233,364,254,362,9.62938848411648,207
182,67234,194,347,105,62,247,378,256,362,9.62938848411648,226
183,67512,194,347,105,62,247,378,257,363,9.62938848411648,278
184,67732,194,347,105,62,247,378,266,365,9.63728421324381,220
185,68042,194,347,105,62,247,378,263,364,9.66585686299443,310
186,68254,194,347,105,62,247,378,240,368,11.6702953143119,212
187,68464,194,347,105,62,247,378,239,364,11.6702953143119,210
188,68714,188,375,88,51,232,401,237,384,11.6702953143119,250
189,68994,188,375,88,51,232,401,222,389,14.1364248940854,280
190,69225,193,377,73,43,230,399,231,385,14.1364248940854,231
191,69429,193,377,73,43,230,399,224,395,16.8963052008028,204
192,69689,198,380,61,36,229,398,225,390,16.8963052008028,260
193,69898,198,380,61,36,229,398,222,395,20.2989939901944,209
194,70133,202,383,51,30,228,398,224,391,20.2989939901944,235
195,70341,202,383,51,30,228,398,222,395,24.1048709348947,208
196,70766,206,385,42,25,227,398,223,392,24.1048709348947,425
197,70982,206,385,42,25,227,398,221,394,29.2994641743997,216
198,71219,208,386,35,21,226,397,223,395,29.2994641743997,237
199,71415,208,386,35,21,226,397,220,394,35.0552347020518,196
200,71646,210,387,29,17,225,396,222,395,35.0552347020518,231
201,71875,210,387,29,17,225,396,220,394,41.4046079184327,229
202,72253,212,388,25,14,225,395,221,394,41.4046079184327,378
203,72548,212,388,25,14,225,395,220,396,41.4046079184327,295
204,72753,215,392,25,14,228,399,220,396,41.4046079184327,205
205,73039,215,392,25,14,228,399,220,396,41.4046079184327,286
206,73390,215,392,25,14,228,399,223,397,41.4046079184327,351
207,73602,215,392,25,14,228,399,226,397,41.4046079184327,212
208,73842,215,392,25,14,228,399,227,397,41.4046079184327,240
209,74202,215,392,25,14,228,399,225,397,41.4046079184327,360
210,74450,215,392,25,14,228,399,224,398,41.3663403818708,248
211,74688,215,392,25,14,228,399,224,398,41.2173776100086,238
212,74923,215,392,25,14,228,399,224,398,40.6848251991742,235
213,75140,215,392,25,14,228,399,224,398,33.8425974276626,217
214,75364,213,391,29,17,228,400,224,398,33.8425974276626,224
215,75559,213,391,29,17,228,400,222,398,28.5418396220182,195
216,75899,211,389,35,21,229,400,224,398,28.5418396220182,340
217,76148,211,389,35,21,229,400,222,398,23.4901711187763,249
218,76387,209,388,42,25,230,401,223,398,23.4901711187763,239
219,76587,209,388,42,25,230,401,225,399,19.5964704368868,200
220,76812,205,386,51,30,231,401,221,398,19.5964704368868,225
221,77018,205,386,51,30,231,401,226,399,16.4594466814256,206
